Player,Age,Position,Position_Gen,Fee,Left,Joined,Year,Nationality,FIFA_Rank,Appearances,Goals,Assists,Clean Sheets,Conceded,CSL
Joao Cancelo,24,RB,DEF,36.36,Valencia,Juventus,2018,POR,4,28,1,4,0,0,0
Douglas Costa,27,LM,MID,36,Bayern Munich ,Juventus,2018,BRA,2,47,6,14,0,0,0
Goncalo Guedes,21,LW,FWD,36,Paris SG,Valencia,2018,POR,4,38,6,11,0,0,0
Leandro Paredes,24,CM,MID,36,Zenit S-Pb,Paris SG,2018,ARG,5,39,6,11,0,0,0
Richarlison,21,LW,FWD,35.28,Watford,Everton,2018,BRA,2,41,5,5,0,0,0
Radja Nainggolan,30,CM,MID,34.2,AS Roma,Inter,2018,BEL,3,42,6,11,0,0,0
Felipe Anderson,25,LW,FWD,34.2,Lazio,West Ham,2018,BRA,2,32,8,10,0,0,0
Thilo Kehrer,21,CB,DEF,33.3,FC Schalke 04,Paris SG,2018,GER,1,33,3,3,0,0,0
Clement Lenglet,23,CB,DEF,32.31,Sevilla FC,FC Barcelona,2018,FRA,7,54,4,1,0,0,0
Thibaut Courtois,26,GK,GK,31.5,Chelsea,Real Madrid,2018,BEL,3,46,0,1,19,47,0
Leonardo Bonucci,31,CB,DEF,31.5,AC Milan,Juventus,2018,ITA,19,51,2,1,0,0,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,
